time,HA_open,HA_high,HA_low,HA_close,trendline,atr_condition,trade_signal
49,1107.4167599362065,1160.65,1107.4167599362065,1152.9125,1001.725,True,1
50,1130.1646299681033,1211.45,1130.1646299681033,1186.5500000000002,1001.725,True,1
51,1158.3573149840518,1335.45,1158.3573149840518,1265.325,1001.725,True,1
52,1211.841157492026,1361.05,1211.841157492026,1333.6,1001.725,True,1
53,1272.720578746013,1361.05,1272.720578746013,1345.0875,1001.725,True,1
54,1308.9040393730065,1370.1,1308.9040393730065,1343.3625,1001.725,True,0
55,1326.1332696865034,1356.7,1326.1332696865034,1345.4250000000002,1001.725,True,1
56,1335.7791348432518,1367.05,1335.7791348432518,1358.5875,1001.725,True,1
57,1347.1833174216258,1368.2,1347.1833174216258,1360.85,1001.725,True,1
58,1354.0166587108129,1360.4,1346.9,1355.45,1001.725,True,0
59,1354.7333293554066,1375.25,1354.7333293554066,1367.825,1001.725,True,1
60,1361.2791646777032,1375.25,1313.8,1344.525,1001.725,True,0
61,1352.9020823388516,1424.1,1313.8,1368.9499999999998,1001.725,True,1
62,1360.9260411694258,1424.1,1360.9260411694258,1405.35,1001.725,True,1
63,1383.1380205847129,1386.6,1306.65,1346.625,1001.725,True,0
64,1364.8815102923563,1364.8815102923563,1306.65,1306.65,1001.725,True,0
65,1335.7657551461782,1335.7657551461782,1295.0,1302.25,1001.725,True,0
66,1319.007877573089,1319.007877573089,1300.7,1300.7,1001.725,True,0
67,1309.8539387865444,1309.8539387865444,1300.7,1300.7,1001.725,False,0
68,1305.2769693932723,1309.95,1290.8,1302.85,1001.725,False,0
69,1304.0634846966361,1350.0,1304.0634846966361,1329.975,1001.725,False,0
70,1317.0192423483181,1350.25,1317.0192423483181,1350.125,1001.725,False,0
71,1333.572121174159,1376.15,1333.572121174159,1363.2,1001.725,False,0
72,1348.3860605870796,1502.85,1348.3860605870796,1433.2625,1001.725,True,1
73,1390.8242802935397,1525.8,1390.8242802935397,1483.65,1001.725,True,1
74,1437.23714014677,1468.3,1437.23714014677,1461.375,1001.725,True,0
75,1449.306070073385,1508.6,1428.05,1462.8375,1001.725,True,1
76,1456.0717850366925,1602.05,1428.05,1514.5375,1001.725,True,1
77,1485.304642518346,1625.45,1485.304642518346,1602.275,1001.725,True,1
78,1543.789821259173,1625.0,1543.789821259173,1600.15,1001.725,True,0
79,1571.9699106295866,1581.1,1408.2,1494.6499999999999,1408.2,True,0
80,1533.3099553147931,1533.3099553147931,1373.8,1391.0,1408.2,True,-1
81,1462.1549776573966,1462.1549776573966,1321.4,1347.6,1408.2,True,-1
82,1404.8774888286982,1404.8774888286982,1321.4,1341.2375000000002,1408.2,True,-1
83,1373.057494414349,1421.7,1352.15,1380.8,1408.2,True,0
84,1376.9287472071746,1397.2,1376.9287472071746,1397.2,1408.2,True,0
85,1387.0643736035872,1397.2,1387.0643736035872,1397.2,1408.2,True,0
86,1392.1321868017935,1397.2,1320.0,1369.6999999999998,1408.2,True,-1
87,1380.9160934008967,1380.9160934008967,1301.0,1333.275,1408.2,True,-1
88,1357.0955467004483,1357.0955467004483,1292.4,1297.85,1408.2,True,-1
89,1327.472773350224,1330.0,1292.4,1305.9,1408.2,False,0
90,1316.686386675112,1348.0,1308.8,1328.4,1408.2,False,0
91,1322.5431933375562,1322.5431933375562,1295.5,1297.75,1408.2,False,0
92,1310.146596668778,1453.0,1300.0,1376.5,1408.2,True,0
93,1343.3232983343892,1453.0,1343.3232983343892,1453.0,1408.2,True,1
94,1398.1616491671946,1484.0,1398.1616491671946,1468.5,1408.2,True,1
95,1433.3308245835974,1484.0,1433.3308245835974,1473.1999999999998,1408.2,True,1
96,1453.2654122917986,1462.4,1407.75,1437.7625,1408.2,False,0
97,1445.5139561458993,1445.5139561458993,1414.15,1423.125,1408.2,False,0
98,1434.3194780729496,1445.2,1416.45,1426.3375,1408.2,False,0
99,1430.3284890364748,1430.3284890364748,1365.75,1395.7625,1408.2,False,0
100,1413.0454945182373,1413.0454945182373,1371.8,1371.8,1408.2,False,0
101,1392.4227472591188,1392.4227472591188,1359.45,1368.125,1408.2,False,0
102,1380.2738736295594,1380.2738736295594,1328.45,1345.9750000000001,1408.2,False,0
103,1363.1244368147798,1363.1244368147798,1336.55,1336.55,1408.2,False,0
104,1349.8372184073899,1349.8372184073899,1239.9,1288.225,1408.2,False,0
105,1319.031109203695,1319.031109203695,1238.05,1238.9750000000001,1408.2,False,0
106,1279.0030546018475,1283.55,1238.05,1260.8,1408.2,False,0
107,1269.9015273009236,1283.55,1269.9015273009236,1283.55,1408.2,False,0
108,1276.7257636504619,1329.0,1276.7257636504619,1299.7,1408.2,False,0
109,1288.2128818252309,1302.7,1288.2128818252309,1302.7,1408.2,False,0
110,1295.4564409126156,1302.7,1268.8,1285.75,1408.2,False,0
111,1290.6032204563078,1290.6032204563078,1268.8,1268.8,1408.2,False,0
112,1279.7016102281539,1296.9,1260.75,1271.8,1408.2,False,0
113,1275.750805114077,1275.750805114077,1245.8,1261.2875000000001,1408.2,False,0
114,1268.5191525570385,1269.3,1268.5191525570385,1269.3,1408.2,False,0
115,1268.9095762785191,1269.3,1268.9095762785191,1269.3,1408.2,False,0
116,1269.1047881392597,1269.3,1269.1047881392597,1269.3,1408.2,False,0
117,1269.20239406963,1312.3,1269.20239406963,1288.3249999999998,1408.2,False,0
118,1278.7636970348149,1341.4,1272.45,1297.175,1408.2,False,0
119,1287.9693485174075,1287.9693485174075,1266.0,1270.3625,1408.2,False,0
120,1279.1659242587039,1279.1659242587039,1266.0,1266.0,1408.2,False,0
121,1272.582962129352,1272.582962129352,1266.0,1266.0,1408.2,False,0
122,1269.291481064676,1269.291481064676,1266.0,1266.0,1408.2,False,0
123,1267.645740532338,1267.645740532338,1265.6,1265.8,1408.2,False,0
124,1266.7228702661691,1266.7228702661691,1250.0,1257.8,1408.2,False,0
125,1262.2614351330844,1262.2614351330844,1237.6,1243.8,1408.2,False,0
126,1253.030717566542,1253.030717566542,1210.55,1224.075,1408.2,False,0
127,1238.552858783271,1326.9,1210.55,1268.725,1408.2,False,0
128,1253.6389293916354,1326.9,1253.6389293916354,1303.8125,1408.2,True,0
129,1278.7257146958177,1303.0,1278.7257146958177,1290.95,1408.2,False,0
130,1284.837857347909,1284.837857347909,1278.9,1279.0500000000002,1408.2,False,0
