HA_open,HA_high,HA_low,HA_close,atr_condition,Trendline,trade_single
114.85,130.9,94.2,113.7,False,130.9,0
114.275,124.7,101.5,116.9125,False,130.9,0
115.59375,151.5,115.59375,135.5875,False,130.9,0
125.590625,190.7,125.590625,168.7125,False,130.9,0
147.1515625,201.65,147.1515625,187.5125,False,130.9,0
167.33203125,268.4,167.33203125,225.6125,False,130.9,0
196.472265625,628.45,196.472265625,392.7875,False,130.9,0
294.6298828125,441.15,294.6298828125,375.4625,False,130.9,0
335.04619140625,385.25,325.3,358.1375,False,130.9,0
346.591845703125,390.75,324.2,367.2875,False,130.9,0
356.9396728515625,372.35,326.1,355.88750000000005,False,130.9,0
356.41358642578126,360.0,260.0,308.15,False,130.9,0
332.28179321289065,332.28179321289065,231.9,276.23749999999995,False,130.9,0
304.2596466064453,304.2596466064453,185.75,246.8125,False,130.9,0
275.5360733032227,275.5360733032227,156.2,184.07500000000002,False,130.9,0
229.80553665161136,229.80553665161136,146.55,184.325,False,130.9,0
207.06526832580568,231.5,193.45,214.0625,False,130.9,0
210.56388416290284,262.25,198.25,234.1875,False,130.9,0
222.3756920814514,298.3,222.3756920814514,268.0125,False,130.9,0
245.1940960407257,310.9,245.1940960407257,286.2,False,130.9,0
265.69704802036284,298.0,223.7,274.45,False,130.9,0
270.0735240101814,292.35,243.4,271.3,False,130.9,0
270.6867620050907,281.35,240.85,263.35,False,130.9,0
267.01838100254537,292.7,228.95,271.21250000000003,False,130.9,0
269.1154405012727,307.0,269.1154405012727,287.275,False,130.9,0
278.19522025063634,278.19522025063634,78.25,139.0125,False,130.9,0
208.60386012531816,208.60386012531816,74.0,85.73750000000001,False,130.9,0
147.17068006265907,147.17068006265907,88.75,99.6625,False,130.9,0
123.41659003132953,123.41659003132953,92.7,102.05000000000001,False,130.9,0
112.73329501566477,136.65,100.05,118.5875,False,130.9,0
115.66039750783239,218.25,115.66039750783239,154.3625,False,130.9,0
135.0114487539162,219.25,135.0114487539162,180.7,False,130.9,0
157.8557243769581,236.25,157.8557243769581,214.3625,False,130.9,0
186.10911218847906,215.05,152.95,190.7375,False,130.9,0
188.42330609423954,232.5,183.9,207.0125,False,130.9,0
197.71790304711976,252.8,197.71790304711976,226.9375,False,130.9,0
212.32770152355988,238.55,181.7,208.40000000000003,False,130.9,0
210.36385076177996,210.36385076177996,141.75,171.65,False,130.9,0
191.00692538088998,191.00692538088998,131.35,156.625,False,130.9,0
173.815962690445,191.8,143.3,169.0625,False,130.9,0
171.43923134522248,201.0,164.55,183.07500000000002,False,130.9,0
177.25711567261123,184.9,162.3,174.54999999999998,False,130.9,0
175.9035578363056,182.2,142.3,163.1875,False,130.9,0
169.5455289181528,169.5455289181528,131.3,147.5875,False,130.9,0
158.56651445907642,158.56651445907642,129.6,141.2125,False,130.9,0
149.8895072295382,153.0,113.6,131.86249999999998,False,130.9,0
140.8760036147691,140.8760036147691,97.0,109.1375,False,130.9,0
125.00675180738455,125.00675180738455,98.7,109.2125,False,130.9,0
117.10962590369228,125.65,91.1,105.55,False,130.9,0
111.32981295184614,111.32981295184614,76.5,86.69999999999999,False,130.9,0
99.01490647592306,122.25,68.0,89.11250000000001,False,130.9,0
94.06370323796153,125.95,85.7,105.675,False,130.9,0
99.86935161898077,137.35,99.86935161898077,122.14999999999999,False,130.9,0
111.00967580949037,134.0,97.05,117.5,False,130.9,0
114.25483790474519,127.5,98.75,111.0,False,130.9,0
112.6274189523726,112.6274189523726,82.5,97.42500000000001,False,130.9,0
105.0262094761863,111.0,91.8,98.91250000000001,False,130.9,0
101.96935473809316,101.96935473809316,73.3,87.625,False,130.9,0
94.79717736904658,105.05,80.2,90.4125,False,130.9,0
92.60483868452329,136.2,91.25,110.88749999999999,False,130.9,0
101.74616934226164,156.25,101.74616934226164,132.0625,False,130.9,0
116.90433467113081,155.0,116.90433467113081,135.9375,False,130.9,0
126.4209173355654,141.8,105.3,129.025,False,130.9,0
127.7229586677827,130.6,85.75,109.9375,False,130.9,0
118.83022933389135,118.83022933389135,77.85,99.4625,False,130.9,0
109.14636466694569,120.0,104.6,109.87499999999999,False,130.9,0
109.51068233347283,173.4,105.2,138.5375,False,130.9,0
124.02409116673641,283.95,124.02409116673641,224.62499999999997,False,130.9,0
174.3245455833682,299.0,174.3245455833682,274.2,False,130.9,0
224.2622727916841,289.5,224.2622727916841,272.25,False,130.9,0
248.25613639584205,339.15,226.55,278.51250000000005,False,130.9,0
263.38431819792106,282.2,209.25,249.18749999999997,False,130.9,0
256.28590909896053,276.8,210.45,240.04999999999998,False,130.9,0
248.16795454948027,307.25,224.8,264.0375,False,130.9,0
256.1027272747401,424.1,256.1027272747401,330.71250000000003,False,130.9,0
