time,HA_open,HA_high,HA_low,HA_close,trendline,atr_condition,trade_signal
84,1083.3929111714838,1133.0,1074.8,1099.4499999999998,1100.0,True,0
85,1091.4214555857418,1104.35,1037.0,1071.5500000000002,1100.0,True,-1
86,1081.4857277928709,1081.4857277928709,1042.45,1059.4,1100.0,True,-1
87,1070.4428638964355,1070.4428638964355,1022.85,1054.1875,1100.0,True,-1
88,1062.3151819482177,1088.4,1056.2,1070.5,1100.0,False,0
89,1066.4075909741089,1082.6,1033.05,1054.3625,1100.0,False,0
90,1060.3850454870544,1060.3850454870544,1009.9,1034.4250000000002,1100.0,False,0
91,1047.4050227435273,1099.8,1039.5,1070.85,1100.0,False,0
92,1059.1275113717636,1098.0,1059.1275113717636,1086.4875,1100.0,False,0
93,1072.8075056858818,1095.9,1068.05,1084.6750000000002,1100.0,False,0
94,1078.7412528429409,1137.65,1078.7412528429409,1112.3625,1100.0,False,0
95,1095.5518764214703,1134.8,1095.5518764214703,1120.5375,1100.0,False,0
96,1108.044688210735,1130.0,1088.1,1115.175,1100.0,False,0
97,1111.6098441053675,1133.4,1100.0,1117.1,1100.0,False,0
98,1114.3549220526838,1114.3549220526838,1096.8,1107.4875,1100.0,False,0
99,1110.921211026342,1141.8,1109.75,1123.1375,1100.0,False,0
100,1117.0293555131711,1168.8,1117.0293555131711,1143.95,1100.0,False,0
101,1130.4896777565855,1197.1,1130.4896777565855,1167.1125000000002,1100.0,False,0
102,1148.8010888782928,1170.85,1139.25,1154.95,1139.25,False,0
103,1151.8755444391463,1151.8755444391463,1113.6,1134.5,1139.25,False,0
104,1143.1877722195732,1143.1877722195732,1090.0,1108.2375,1139.25,False,0
105,1125.7126361097867,1127.45,1078.3,1103.7375000000002,1139.25,False,0
106,1114.7250680548934,1125.9,1098.05,1111.7,1139.25,False,0
107,1113.2125340274467,1113.2125340274467,1084.0,1099.0625,1139.25,False,0
108,1106.1375170137235,1118.95,1096.4,1105.7,1139.25,False,0
109,1105.9187585068616,1123.15,1086.85,1103.025,1139.25,False,0
110,1104.4718792534309,1104.4718792534309,1070.0,1082.8000000000002,1139.25,False,0
111,1093.6359396267155,1093.6359396267155,1052.15,1070.425,1139.25,False,0
112,1082.0304698133577,1082.0304698133577,1041.0,1055.2625,1139.25,False,0
113,1068.6464849066788,1068.6464849066788,1037.0,1048.625,1139.25,False,0
114,1058.6357424533394,1078.0,1042.4,1059.95,1139.25,False,0
115,1059.2928712266698,1080.15,1056.0,1068.0875,1139.25,False,0
116,1063.690185613335,1081.0,1045.95,1066.3125,1139.25,False,0
117,1065.0013428066675,1085.4,1048.8,1066.7375,1139.25,False,0
118,1065.8694214033337,1071.7,1050.65,1058.1750000000002,1139.25,False,0
119,1062.022210701667,1062.022210701667,1048.3,1055.525,1139.25,False,0
120,1058.7736053508336,1065.45,1030.05,1050.8375,1139.25,False,0
121,1054.805552675417,1068.8,1051.9,1060.0375,1139.25,False,0
122,1057.4215263377084,1086.4,1054.0,1069.875,1139.25,False,0
123,1063.648263168854,1095.0,1063.648263168854,1080.8875,1139.25,False,0
124,1072.267881584427,1080.95,974.4,1038.025,1139.25,True,-1
125,1055.1464407922135,1055.1464407922135,1000.5,1011.2249999999999,1139.25,True,-1
126,1033.1857203961067,1033.1857203961067,965.0,987.6625,1139.25,True,-1
127,1010.4241101980533,1010.4241101980533,948.85,969.5875000000001,1139.25,True,-1
128,990.0058050990267,995.6,950.8,969.6000000000001,1139.25,True,0
129,979.8029025495134,979.8029025495134,935.05,951.8874999999999,1139.25,True,-1
130,965.8452012747566,975.3,940.2,959.8249999999999,1139.25,True,0
131,962.8351006373782,982.95,958.0,973.125,1139.25,True,0
132,967.9800503186891,989.0,962.0,976.9875,1139.25,False,0
133,972.4837751593445,983.0,956.1,970.525,1139.25,False,0
134,971.5043875796723,977.0,947.4,960.6,1139.25,False,0
135,966.0521937898361,966.0521937898361,946.2,953.625,1139.25,False,0
136,959.838596894918,963.15,925.05,948.4124999999999,963.15,False,0
137,954.125548447459,980.4,952.0,966.0375,963.15,False,0
138,960.0815242237295,1003.0,960.0815242237295,984.325,963.15,False,0
139,972.2032621118648,1001.95,972.2032621118648,987.9124999999999,963.15,False,0
140,980.0578810559323,1013.0,980.0578810559323,1000.6,963.15,False,0
141,990.3289405279661,1039.0,990.3289405279661,1021.3,963.15,False,0
142,1005.814470263983,1079.0,1005.814470263983,1055.0875,963.15,True,1
143,1030.4509851319915,1091.0,1030.4509851319915,1081.0,963.15,True,1
144,1055.7254925659959,1099.0,1055.7254925659959,1084.2,963.15,True,1
145,1069.962746282998,1093.9,1069.35,1081.8875,963.15,True,0
146,1075.9251231414992,1088.35,1063.0,1077.8,963.15,False,0
147,1076.8625615707497,1090.0,1068.15,1077.5625,963.15,False,0
148,1077.2125307853748,1090.0,1073.05,1081.2625,963.15,False,0
149,1079.2375153926873,1086.0,1055.0,1069.65,963.15,False,0
150,1074.4437576963437,1074.4437576963437,982.7,1021.6624999999999,963.15,True,0
151,1048.0531288481718,1048.0531288481718,995.7,1019.675,963.15,True,0
152,1033.8640644240859,1050.0,1007.85,1030.3875,963.15,True,0
153,1032.1257822120429,1038.95,1002.65,1025.45,963.15,True,0
154,1028.7878911060216,1035.0,1000.15,1025.5375,963.15,True,0
155,1027.1626955530107,1065.0,1027.1626955530107,1044.225,963.15,True,1
156,1035.6938477765052,1100.0,1035.6938477765052,1073.9375,963.15,True,1
157,1054.8156738882526,1122.0,1030.0,1069.85,963.15,True,0
158,1062.3328369441263,1065.0,1017.7,1043.5874999999999,963.15,True,0
159,1052.960168472063,1069.4,1030.0,1056.5625,963.15,True,0
160,1054.7613342360314,1079.8,1051.1,1066.5249999999999,963.15,True,1
161,1060.6431671180158,1095.0,1055.8,1078.0,963.15,True,1
162,1069.3215835590079,1117.2,1069.3215835590079,1098.2125,963.15,True,1
163,1083.7670417795039,1108.0,1060.0,1089.425,963.15,True,0
164,1086.5960208897518,1100.15,1061.25,1083.5,963.15,True,0
165,1085.048010444876,1105.0,1077.1,1091.3625,963.15,False,0
166,1088.205255222438,1112.0,1070.0,1088.4,963.15,False,0
167,1088.3026276112191,1092.0,1060.0,1073.9125,963.15,False,0
168,1081.1075638056095,1087.75,1069.05,1076.2,963.15,False,0
169,1078.653781902805,1149.0,1073.8,1107.475,963.15,True,1
170,1093.0643909514024,1142.75,1093.0643909514024,1135.275,1093.0643909514024,True,1
