time,HA_open,HA_high,HA_low,HA_close,EMA,ATR,ATR_avg
2025-11-22 22:20:00+05:30,2754.7749999999996,2757.9,2751.25,2754.675,2754.675,,
2025-11-22 22:25:00+05:30,2754.725,2757.3,2752.75,2754.4375,2754.5958333333338,,
2025-11-22 22:30:00+05:30,2754.58125,2755.1,2745.9,2750.55,2753.2472222222227,,
2025-11-22 22:35:00+05:30,2752.565625,2752.95,2743.85,2748.8125,2751.768981481482,,
2025-11-22 22:40:00+05:30,2750.6890625,2753.7,2746.4,2750.7125,2751.4168209876552,,
2025-11-22 22:45:00+05:30,2750.70078125,2751.6,2747.45,2749.5375,2750.790380658437,,
2025-11-22 22:50:00+05:30,2750.119140625,2754.9,2747.65,2751.2375,2750.939420438958,,
2025-11-22 22:55:00+05:30,2750.6783203125,2758.0,2750.6783203125,2755.575,2752.484613625972,,
2025-11-22 23:00:00+05:30,2753.12666015625,2756.6,2751.95,2754.35,2753.106409083982,,
2025-11-22 23:05:00+05:30,2753.738330078125,2753.738330078125,2747.55,2750.5875,2752.2667727226544,,
2025-11-22 23:10:00+05:30,2752.1629150390627,2752.1629150390627,2745.85,2748.875,2751.136181815103,,
2025-11-22 23:15:00+05:30,2750.5189575195313,2750.5189575195313,2744.3,2746.9749999999995,2749.7491212100686,,
2025-11-22 23:20:00+05:30,2748.7469787597656,2749.6,2746.15,2747.5874999999996,2749.0285808067124,,
2025-11-22 23:25:00+05:30,2748.1672393798826,2751.25,2745.3,2748.5,2748.8523872044752,5.874999999999935,
2025-11-22 23:30:00+05:30,2748.3336196899413,2749.7,2745.5,2747.9125,2748.5390914696504,5.75535714285707,
2025-11-22 23:35:00+05:30,2748.1230598449706,2754.2,2745.8,2750.2875,2749.1218943131003,5.944260204081539,
2025-11-22 23:40:00+05:30,2749.2052799224853,2754.55,2749.2052799224853,2752.5,2750.247929542067,5.791098760932871,
2025-11-22 23:45:00+05:30,2750.852639961243,2751.7,2747.8,2750.3125,2750.269453028045,5.656020278009069,
2025-11-22 23:50:00+05:30,2750.5825699806214,2752.0,2748.45,2750.425,2750.3213020186968,5.505590258151291,
2025-11-22 23:55:00+05:30,2750.503784990311,2751.8,2746.5,2749.75,2750.130868012465,5.4909052397119265,
2025-11-23 00:00:00+05:30,2750.1268924951555,2750.45,2743.45,2747.0249999999996,2749.0955786749764,5.598697722589646,
2025-11-23 00:05:00+05:30,2748.5759462475776,2748.5759462475776,2741.85,2744.925,2747.705385783318,5.605933599547549,
2025-11-23 00:10:00+05:30,2746.7504731237887,2750.05,2746.45,2748.0375000000004,2747.816090522212,5.4626526281513215,
