entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-05-28 17:28:21,2026-05-28 18:53:17,BTCUSD,long,73485.86532781,73170.95488073,100,-38.823886
2026-05-28 19:02:52,2026-05-28 22:17:22,BTCUSD,short,72961.62470924,73367.91895337,100,-47.945902
2026-05-28 22:32:15,2026-05-29 08:02:31,BTCUSD,long,73406.66831061,73397.53413707,100,-8.253627
