entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-03-17 10:11:07.499643,2026-03-17 11:11:07.106167,ETHUSD,short,2311.69512427,2320.31401691,100,-9.77905
2026-03-17 10:08:54.672623,2026-03-17 11:31:13.751655,BTCUSD,short,73670.07352793,73969.38325685,100,-33.629442
2026-03-17 11:31:33.507788,2026-03-17 12:31:13.589064,BTCUSD,long,73939.26559938,73796.42623052,100,-17.973758
2026-03-17 11:11:27.987209,2026-03-17 12:31:20.866690,ETHUSD,long,2320.14299242,2320.48515021,100,-0.818085
2026-03-17 12:31:43.347842,2026-03-17 13:36:13.824958,ETHUSD,short,2319.47962917,2334.9613517,100,-16.649203
2026-03-17 15:04:20.280944,2026-03-17 15:10:15.958923,ETHUSD,long,2353.1001122,2333.64286445,100,-20.624069
2026-03-17 15:10:27.624280,2026-03-17 15:10:39.303683,ETHUSD,long,2333.49348166,2333.68539181,100,-0.974933
2026-03-17 15:04:19.011287,2026-03-17 15:15:10.288606,BTCUSD,long,74809.31150709,74060.47442005,100,-78.586732
2026-03-17 15:31:10.561212,2026-03-17 15:31:22.205813,BTCUSD,short,74097.68698816,74096.31730392,100,-3.567847
2026-03-17 15:36:03.839963,2026-03-17 16:10:47.523820,BTCUSD,short,73864.75937826,74062.15068224,100,-23.442238
2026-03-17 15:16:05.420851,2026-03-17 16:25:32.602293,ETHUSD,short,2331.2036915,2334.4700481,100,-4.433592
2026-03-17 16:21:13.644866,2026-03-17 16:33:59.382333,BTCUSD,long,74144.15098734,74050.61516952,100,-13.056113
2026-03-17 16:34:10.995564,2026-03-17 16:34:22.942671,BTCUSD,long,74055.1946881,73985.7670853,100,-10.642049
2026-03-17 16:41:13.569182,2026-03-17 16:43:13.322979,BTCUSD,short,74010.76748237,74079.44391993,100,-10.571616
