time,HA_open,HA_high,HA_low,HA_close,EMA_21,EMA_21_UP,EMA_21_DN,single
2025-09-17 12:30:00+05:30,117168.0,117217.0,117084.0,117159.25,,,,0
2025-09-17 12:45:00+05:30,117163.625,117246.0,117121.5,117176.75,,,,0
2025-09-17 13:00:00+05:30,117170.1875,117229.5,117127.5,117175.75,,,,0
2025-09-17 13:15:00+05:30,117172.96875,117197.0,117119.5,117151.375,,,,0
2025-09-17 13:30:00+05:30,117162.171875,117169.0,116962.5,117056.5,,,,0
2025-09-17 13:45:00+05:30,117109.3359375,117109.3359375,116870.0,116925.0,,,,0
2025-09-17 14:00:00+05:30,117017.16796875,117017.16796875,116650.5,116777.25,,,,0
2025-09-17 14:15:00+05:30,116897.208984375,116897.208984375,116691.5,116767.0,,,,0
2025-09-17 14:30:00+05:30,116832.1044921875,116832.1044921875,116646.0,116737.25,116991.79166666667,117241.79166666667,116741.79166666667,-1
2025-09-17 14:45:00+05:30,116784.67724609375,116784.67724609375,116588.5,116678.875,116929.20833333334,117179.20833333334,116679.20833333334,-1
2025-09-17 15:00:00+05:30,116731.77612304688,116761.5,116655.0,116699.625,116883.29166666669,117133.29166666669,116633.29166666669,-1
2025-09-17 15:15:00+05:30,116715.70056152344,116715.70056152344,116513.5,116591.0,116824.83333333336,117074.83333333336,116574.83333333336,-1
2025-09-17 15:30:00+05:30,116653.35028076172,116653.35028076172,116430.5,116492.25,116758.3166666667,117008.3166666667,116508.3166666667,-1
2025-09-17 15:45:00+05:30,116572.80014038086,116572.80014038086,116358.0,116406.125,116687.87833333337,116937.87833333337,116437.87833333337,-1
2025-09-17 16:00:00+05:30,116489.46257019043,116489.46257019043,116335.5,116372.625,116624.82766666671,116874.82766666671,116374.82766666671,-1
2025-09-17 16:15:00+05:30,116431.04378509521,116431.04378509521,116223.5,116321.125,116564.08713333338,116814.08713333338,116314.08713333338,-1
2025-09-17 16:30:00+05:30,116376.08439254761,116376.08439254761,116225.5,116301.25,116511.5197066667,116761.5197066667,116261.5197066667,-1
2025-09-17 16:45:00+05:30,116338.6671962738,116338.6671962738,116214.0,116280.75,116465.36576533338,116715.36576533338,116215.36576533338,-1
2025-09-17 17:00:00+05:30,116309.7085981369,116309.7085981369,116231.5,116259.625,116424.21761226672,116674.21761226672,116174.21761226672,-1
2025-09-17 17:15:00+05:30,116284.66679906845,116322.0,116208.5,116249.0,116389.17408981339,116639.17408981339,116139.17408981339,-1
2025-09-17 17:30:00+05:30,116266.83339953423,116332.0,116161.0,116254.0,116362.13927185071,116612.13927185071,116112.13927185071,-1
2025-09-17 17:45:00+05:30,116260.41669976711,116356.0,116202.0,116298.375,116349.38641748058,116599.38641748058,116099.38641748058,-1
2025-09-17 18:00:00+05:30,116279.39584988356,116497.5,116056.5,116262.5,116332.00913398447,116582.00913398447,116082.00913398447,-1
2025-09-17 18:15:00+05:30,116270.94792494178,116270.94792494178,116063.5,116159.5,116297.50730718757,116547.50730718757,116047.50730718757,-1
2025-09-17 18:30:00+05:30,116215.22396247089,116215.22396247089,116041.5,116110.75,116260.15584575007,116510.15584575007,116010.15584575007,-1
2025-09-17 18:45:00+05:30,116162.98698123544,116300.0,116069.0,116166.25,116241.37467660005,116491.37467660005,115991.37467660005,-1
2025-09-17 19:00:00+05:30,116164.61849061772,116267.5,115913.5,116087.75,116210.64974128005,116460.64974128005,115960.64974128005,-1
2025-09-17 19:15:00+05:30,116126.18424530886,116198.5,115866.5,116024.75,116173.46979302405,116423.46979302405,115923.46979302405,-1
2025-09-17 19:30:00+05:30,116075.46712265443,116219.5,115977.5,116104.625,116159.70083441924,116409.70083441924,115909.70083441924,-1
2025-09-17 19:45:00+05:30,116090.04606132722,116148.0,115566.5,115868.5,116101.4606675354,116351.4606675354,115851.4606675354,-1
2025-09-17 20:00:00+05:30,115979.27303066361,115979.27303066361,115412.5,115574.125,115995.99353402833,116245.99353402833,115745.99353402833,-1
2025-09-17 20:15:00+05:30,115776.6990153318,115776.6990153318,115443.0,115564.5,115909.69482722267,116159.69482722267,115659.69482722267,-1
2025-09-17 20:30:00+05:30,115670.5995076659,115756.0,115494.5,115639.625,115855.68086177815,116105.68086177815,115605.68086177815,-1
2025-09-17 20:45:00+05:30,115655.11225383295,115756.5,115598.5,115672.75,115819.09468942253,116069.09468942253,115569.09468942253,-1
2025-09-17 21:00:00+05:30,115663.93112691648,115798.0,115601.5,115697.875,115794.85075153803,116044.85075153803,115544.85075153803,-1
2025-09-17 21:15:00+05:30,115680.90306345825,115850.0,115680.90306345825,115795.375,115794.95560123042,116044.95560123042,115544.95560123042,1
2025-09-17 21:30:00+05:30,115738.13903172912,115837.5,115535.5,115686.75,115773.31448098435,116023.31448098435,115523.31448098435,-1
2025-09-17 21:45:00+05:30,115712.44451586457,115712.44451586457,115491.5,115586.5,115735.95158478749,115985.95158478749,115485.95158478749,-1
2025-09-17 22:00:00+05:30,115649.47225793228,115659.5,115397.5,115537.25,115696.21126782999,115946.21126782999,115446.21126782999,-1
2025-09-17 22:15:00+05:30,115593.36112896615,115667.5,115337.0,115510.875,115659.144014264,115909.144014264,115409.144014264,-1
2025-09-17 22:30:00+05:30,115552.11806448307,115775.5,115552.11806448307,115655.625,115658.44021141122,115908.44021141122,115408.44021141122,-1
2025-09-17 22:45:00+05:30,115603.87153224154,115695.0,115536.5,115630.75,115652.90216912897,115902.90216912897,115402.90216912897,-1
2025-09-17 23:00:00+05:30,115617.31076612076,116264.5,115613.5,115878.375,115697.99673530318,115947.99673530318,115447.99673530318,1
2025-09-17 23:15:00+05:30,115747.84288306038,116122.0,115439.0,115747.875,115707.97238824255,115957.97238824255,115457.97238824255,1
2025-09-17 23:30:00+05:30,115747.8589415302,116328.0,115369.5,115641.0,115694.57791059405,115944.57791059405,115444.57791059405,-1
2025-09-17 23:45:00+05:30,115694.4294707651,115967.0,114930.5,115563.875,115668.43732847524,115918.43732847524,115418.43732847524,-1
2025-09-18 00:00:00+05:30,115629.15223538256,115933.0,114825.0,115387.625,115612.2748627802,115862.2748627802,115362.2748627802,-1
2025-09-18 00:15:00+05:30,115508.38861769128,115508.38861769128,114672.0,115036.25,115497.06989022417,115747.06989022417,115247.06989022417,-1
2025-09-18 00:30:00+05:30,115272.31930884565,115839.5,115038.0,115385.375,115474.73091217934,115724.73091217934,115224.73091217934,-1
2025-09-18 00:45:00+05:30,115328.84715442282,115962.0,115328.84715442282,115630.25,115505.83472974348,115755.83472974348,115255.83472974348,1
2025-09-18 01:00:00+05:30,115479.54857721142,115793.0,115479.54857721142,115682.25,115541.11778379479,115791.11778379479,115291.11778379479,1
