time,HA_open,HA_high,HA_low,HA_close,Trendline,ATR,ATR_MA
2025-12-26 08:45:00+05:30,2964.925,2968.6,2956.95,2963.8500000000004,2963.8500000000004,,
2025-12-26 09:00:00+05:30,2964.3875000000003,2965.25,2959.9,2962.6,2963.8500000000004,,
2025-12-26 09:15:00+05:30,2963.49375,2967.9,2962.0,2964.3625,2963.8500000000004,,
2025-12-26 09:30:00+05:30,2963.9281250000004,2964.3,2951.45,2959.6875,2963.8500000000004,,
2025-12-26 09:45:00+05:30,2961.8078125,2961.8078125,2955.35,2958.3500000000004,2963.8500000000004,,
2025-12-26 10:00:00+05:30,2960.0789062500003,2970.15,2958.15,2963.7000000000003,2963.8500000000004,,
2025-12-26 10:15:00+05:30,2961.8894531250003,2974.45,2961.8894531250003,2970.3124999999995,2963.8500000000004,,
2025-12-26 10:30:00+05:30,2966.1009765625,2972.3,2966.1009765625,2970.4500000000003,2963.8500000000004,,
2025-12-26 10:45:00+05:30,2968.27548828125,2970.45,2966.75,2969.0375,2963.8500000000004,,
2025-12-26 11:00:00+05:30,2968.656494140625,2970.65,2966.55,2968.9875,2963.8500000000004,,
2025-12-26 11:15:00+05:30,2968.8219970703126,2974.4,2968.55,2971.4375000000005,2963.8500000000004,,
2025-12-26 11:30:00+05:30,2970.1297485351565,2980.1,2970.1297485351565,2975.6375,2963.8500000000004,,
2025-12-26 11:45:00+05:30,2972.883624267578,2980.1,2972.883624267578,2977.325,2963.8500000000004,,
2025-12-26 12:00:00+05:30,2975.104312133789,2981.65,2972.9,2977.5625,2963.8500000000004,8.044036429269,
2025-12-26 12:15:00+05:30,2976.3334060668944,2979.7,2974.6,2977.475,2963.8500000000004,7.833748112892636,
2025-12-26 12:30:00+05:30,2976.904203033447,2984.55,2976.0,2980.225,2963.8500000000004,7.884908961971746,
2025-12-26 12:45:00+05:30,2978.5646015167235,2991.85,2978.5646015167235,2985.4375,2963.8500000000004,8.270658213493505,
2025-12-26 13:00:00+05:30,2982.001050758362,2985.3,2965.2,2975.45,2963.8500000000004,9.12543262681541,
2025-12-26 13:15:00+05:30,2978.725525379181,2978.725525379181,2952.4,2960.5375000000004,2963.8500000000004,10.354010680555795,
2025-12-26 13:30:00+05:30,2969.6315126895906,2971.55,2954.15,2961.225,2963.8500000000004,10.857295631944673,
