time,HA_open,HA_high,HA_low,HA_close,Trendline,ATR,ATR_MA
2025-12-29 06:30:00+05:30,88346.25,88468.0,87837.0,88249.375,88249.375,,
2025-12-29 07:30:00+05:30,88297.8125,89374.5,88297.8125,88842.25,88249.375,,
2025-12-29 08:30:00+05:30,88570.03125,90155.0,88570.03125,89616.25,88249.375,,
2025-12-29 09:30:00+05:30,89093.140625,90383.0,89093.140625,90124.875,88249.375,,
2025-12-29 10:30:00+05:30,89609.0078125,90269.0,89609.0078125,90060.25,88249.375,,
2025-12-29 11:30:00+05:30,89834.62890625,90099.5,89724.0,89882.875,88249.375,,
2025-12-29 12:30:00+05:30,89858.751953125,89858.751953125,89478.0,89661.875,88249.375,,
2025-12-29 13:30:00+05:30,89760.3134765625,89800.0,89433.0,89588.25,88249.375,,
2025-12-29 14:30:00+05:30,89674.28173828125,89674.28173828125,87724.0,88729.625,88249.375,,
2025-12-29 15:30:00+05:30,89201.95336914062,89201.95336914062,87620.0,87924.5,88249.375,,
2025-12-29 16:30:00+05:30,88563.22668457031,88563.22668457031,87530.0,87647.5,88249.375,,
2025-12-29 17:30:00+05:30,88105.36334228516,88105.36334228516,86768.5,87318.0,88249.375,,
2025-12-29 18:30:00+05:30,87711.68167114258,87711.68167114258,87133.5,87339.25,88249.375,,
2025-12-29 19:30:00+05:30,87525.46583557129,88159.5,87225.0,87539.0,88249.375,989.5233655657087,
2025-12-29 20:30:00+05:30,87532.23291778564,87888.0,87179.0,87530.5,88249.375,969.4859823110152,
2025-12-29 21:30:00+05:30,87531.36645889282,87809.0,87408.5,87614.125,88249.375,928.844126431657,
2025-12-29 22:30:00+05:30,87572.74572944641,87829.5,87308.5,87639.0,88249.375,899.71240311511,
2025-12-29 23:30:00+05:30,87605.8728647232,87977.5,87332.5,87642.375,88249.375,881.5186600354592,
2025-12-30 00:30:00+05:30,87624.1239323616,87641.0,87281.0,87423.75,88249.375,844.3655414614979,
2025-12-30 01:30:00+05:30,87523.9369661808,87578.5,87060.5,87297.75,88249.375,821.0537170713909,
2025-12-30 02:30:00+05:30,87410.8434830904,87410.8434830904,87160.0,87254.625,88249.375,780.3244146441774,
2025-12-30 03:30:00+05:30,87332.7342415452,87389.5,87052.5,87272.75,88249.375,748.6583850267361,
2025-12-30 04:30:00+05:30,87302.7421207726,87383.5,87152.5,87268.375,88249.375,711.682786096255,
2025-12-30 05:30:00+05:30,87285.5585603863,87339.0,87085.0,87215.875,88249.375,678.991158517951,
2025-12-30 06:30:00+05:30,87250.71678019315,87336.0,87093.0,87238.125,88249.375,647.848932909526,
2025-12-30 07:30:00+05:30,87244.42089009658,87324.0,86943.0,87162.25,88249.375,628.7882948445598,
2025-12-30 08:30:00+05:30,87203.33544504829,87401.5,86799.5,87156.5,88249.375,626.8748452128056,
2025-12-30 09:30:00+05:30,87179.91772252414,87463.5,87179.91772252414,87334.375,88249.375,604.0266419833195,
2025-12-30 10:30:00+05:30,87257.14636126207,87332.5,87114.0,87235.625,88249.375,576.6229532702253,
2025-12-30 11:30:00+05:30,87246.38568063104,87497.0,87206.5,87335.375,88249.375,556.1855994652092,
2025-12-30 12:30:00+05:30,87290.88034031552,87582.0,87290.88034031552,87448.25,88249.375,537.2523180523002,
2025-12-30 13:30:00+05:30,87369.56517015776,88196.5,87369.56517015776,87740.625,87369.56517015776,557.943926037296,
2025-12-30 14:30:00+05:30,87555.09508507888,88009.0,87555.09508507888,87856.5,87369.56517015776,550.5125681004264,
2025-12-30 15:30:00+05:30,87705.79754253944,88159.5,87705.79754253944,87980.25,87369.56517015776,543.5975601975788,718.2768657309621
2025-12-30 16:30:00+05:30,87843.02377126971,88004.0,87731.0,87885.375,87369.56517015776,524.2691630406089,696.1219037059574
2025-12-30 17:30:00+05:30,87864.19938563486,88065.0,87864.19938563486,87957.625,87369.56517015776,501.1642667066471,673.820869629559
2025-12-30 18:30:00+05:30,87910.91219281743,88121.5,87883.5,88021.375,87369.56517015776,482.3668190847437,652.5600454701821
