HA_open,HA_high,HA_low,HA_close,SUPERTREND,trendline,UPPER,LOWER,ADX,time
1975.9430654101334,1978.45,1975.9430654101334,1977.1750000000002,1971.7239098563919,1975.1,1979.0,1972.992995966375,17.73299896616334,2026-02-22 13:10:00+05:30
1976.5590327050668,1977.65,1976.4,1976.9,1971.7984661297075,1975.1,1979.0,1973.55,18.81481873803145,2026-02-22 13:15:00+05:30
1976.7295163525334,1977.3,1975.35,1976.1874999999998,1971.7984661297075,1975.1,1979.0,1973.55,18.77590288997184,2026-02-22 13:20:00+05:30
1976.4585081762666,1976.4585081762666,1975.05,1975.6375,1971.7984661297075,1975.1,1979.0,1973.75,18.46334922710659,2026-02-22 13:25:00+05:30
1976.0480040881334,1976.0480040881334,1974.9,1975.5625,1971.7984661297075,1975.1,1979.0,1973.75,18.031643386928994,2026-02-22 13:30:00+05:30
1975.8052520440667,1976.0,1974.0,1975.1375,1971.7984661297075,1975.1,1979.0,1973.75,16.82282656097082,2026-02-22 13:35:00+05:30
1975.4713760220334,1976.6,1974.65,1975.5124999999998,1971.7984661297075,1975.1,1979.0,1973.75,16.176241056560958,2026-02-22 13:40:00+05:30
1975.4919380110166,1976.8,1975.45,1976.025,1971.7984661297075,1974.0,1978.45,1973.75,15.731400379970207,2026-02-22 13:45:00+05:30
1975.7584690055082,1975.9,1973.2,1974.6499999999999,1971.7984661297075,1974.0,1978.45,1973.2,15.644096034712756,2026-02-22 13:50:00+05:30
1975.204234502754,1975.204234502754,1971.0,1972.8,1971.7984661297075,1976.8,1978.45,1971.0,16.721922153684407,2026-02-22 13:55:00+05:30
1974.002117251377,1974.002117251377,1969.55,1971.6999999999998,1979.2790818685562,1975.9,1978.45,1969.55,18.310106175616035,2026-02-22 14:00:00+05:30
1972.8510586256884,1973.5,1971.55,1972.4499999999998,1979.2790818685562,1975.9,1978.45,1969.55,19.784848481695406,2026-02-22 14:05:00+05:30
1972.6505293128441,1973.05,1971.65,1972.4375,1979.17875177027,1974.002117251377,1978.45,1969.55,21.15425205162625,2026-02-22 14:10:00+05:30
1972.544014656422,1972.55,1970.95,1971.7124999999999,1978.288930088803,1973.5,1978.45,1969.55,22.717094394343953,2026-02-22 14:15:00+05:30
1972.128257328211,1972.25,1971.05,1971.6875,1977.7690829332598,1973.05,1978.45,1969.55,24.168305141153247,2026-02-22 14:20:00+05:30
1971.9078786641055,1973.8,1971.9078786641055,1972.75,1977.7690829332598,1973.05,1978.45,1969.55,24.01990760235014,2026-02-22 14:25:00+05:30
1972.3289393320529,1973.7,1971.35,1972.6874999999998,1977.7690829332598,1973.05,1978.45,1969.55,24.180982125036728,2026-02-22 14:30:00+05:30
1972.5082196660264,1972.8,1971.55,1972.45,1977.7690829332598,1973.05,1978.45,1969.55,24.33055132467427,2026-02-22 14:35:00+05:30
1972.4791098330134,1972.8,1971.4,1972.25,1977.7690829332598,1973.7,1978.45,1969.55,24.556177006332053,2026-02-22 14:40:00+05:30
1972.3645549165067,1974.15,1972.2,1973.0124999999998,1977.7690829332598,1973.7,1978.45,1969.55,23.512026905508662,2026-02-22 14:45:00+05:30
1972.6885274582532,1973.95,1972.05,1973.0875,1977.7690829332598,1973.7,1978.45,1969.55,22.6467131098461,2026-02-22 14:50:00+05:30
1972.8880137291267,1973.6,1972.5,1973.05,1977.7690829332598,1973.7,1977.65,1969.55,21.84320744244515,2026-02-22 14:55:00+05:30
1972.9690068645632,1973.75,1972.05,1972.9,1977.7690829332598,1973.7,1977.3,1969.55,21.434899576119438,2026-02-22 15:00:00+05:30
1972.9345034322816,1974.35,1971.05,1972.8375,1977.7690829332598,1973.6,1976.8,1969.55,21.734345526807076,2026-02-22 15:05:00+05:30
1972.886001716141,1974.45,1972.35,1973.5000000000002,1977.7690829332598,1973.6,1976.8,1969.55,21.904262402736858,2026-02-22 15:10:00+05:30
1973.1930008580707,1975.65,1973.1930008580707,1974.75,1977.7690829332598,1971.05,1976.8,1969.55,20.8674291935789,2026-02-22 15:15:00+05:30
