time,HA_open,HA_high,HA_low,HA_close,EMA9,EMA_UPPER,EMA_LOWER
2025-12-07 06:30:00+05:30,3043.125,3051.65,3040.65,3044.6375,,,
2025-12-07 07:30:00+05:30,3043.88125,3056.85,3041.8,3048.4874999999997,,,
2025-12-07 08:30:00+05:30,3046.184375,3056.05,3046.184375,3052.6625000000004,,,
2025-12-07 09:30:00+05:30,3049.4234375,3057.45,3042.4,3049.7125,,,
2025-12-07 10:30:00+05:30,3049.56796875,3049.56796875,3042.85,3045.3374999999996,3048.1675,3058.1675,3038.1675
2025-12-07 11:30:00+05:30,3047.4527343749996,3048.15,3042.5,3045.4500000000003,3047.261666666667,3057.261666666667,3037.261666666667
2025-12-07 12:30:00+05:30,3046.4513671875,3050.3,3030.25,3041.125,3045.216111111112,3055.216111111112,3035.216111111112
2025-12-07 13:30:00+05:30,3043.78818359375,3043.78818359375,3026.7,3035.0,3041.8107407407415,3051.8107407407415,3031.8107407407415
2025-12-07 14:30:00+05:30,3039.394091796875,3039.394091796875,3024.15,3031.45,3038.357160493828,3048.357160493828,3028.357160493828
2025-12-07 15:30:00+05:30,3035.4220458984373,3043.35,3029.0,3034.95,3037.2214403292187,3047.2214403292187,3027.2214403292187
2025-12-07 16:30:00+05:30,3035.1860229492186,3041.65,3034.4,3037.225,3037.222626886146,3047.222626886146,3027.222626886146
2025-12-07 17:30:00+05:30,3036.205511474609,3050.55,3034.05,3041.9875,3038.8109179240973,3048.8109179240973,3028.8109179240973
2025-12-07 18:30:00+05:30,3039.0965057373046,3052.65,3026.3,3039.4750000000004,3039.032278616065,3049.032278616065,3029.032278616065
2025-12-07 19:30:00+05:30,3039.2857528686527,3039.2857528686527,2912.25,2979.975,3019.346519077377,3029.346519077377,3009.346519077377
2025-12-07 20:30:00+05:30,3009.6303764343265,3038.35,2939.1,2986.375,3008.3560127182513,3018.3560127182513,2998.3560127182513
2025-12-07 21:30:00+05:30,2998.0026882171633,3039.7,2998.0026882171633,3025.9125000000004,3014.208175145501,3024.208175145501,3004.208175145501
2025-12-07 22:30:00+05:30,3011.957594108582,3133.7,3011.957594108582,3077.2499999999995,3035.222116763667,3045.222116763667,3025.222116763667
2025-12-07 23:30:00+05:30,3044.6037970542907,3149.95,3044.6037970542907,3125.675,3065.373077842445,3075.373077842445,3055.373077842445
2025-12-08 00:30:00+05:30,3085.139398527145,3142.5,3085.139398527145,3132.3125,3087.68621856163,3097.68621856163,3077.68621856163
2025-12-08 01:30:00+05:30,3108.7259492635726,3146.35,3108.7259492635726,3138.8624999999997,3104.744979041087,3114.744979041087,3094.744979041087
2025-12-08 02:30:00+05:30,3123.794224631786,3140.2,3068.75,3108.425,3105.9716526940583,3115.9716526940583,3095.9716526940583
2025-12-08 03:30:00+05:30,3116.109612315893,3116.109612315893,3011.8,3053.7625,3088.568601796039,3098.568601796039,3078.568601796039
2025-12-08 04:30:00+05:30,3084.9360561579465,3084.9360561579465,3024.25,3044.6125,3073.916567864026,3083.916567864026,3063.916567864026
2025-12-08 05:30:00+05:30,3064.774278078973,3076.05,3039.85,3059.275,3069.0360452426844,3079.0360452426844,3059.0360452426844
2025-12-08 06:30:00+05:30,3062.024639039487,3134.35,3061.75,3089.1000000000004,3075.72403016179,3085.72403016179,3065.72403016179
2025-12-08 07:30:00+05:30,3075.5623195197436,3114.75,3075.5623195197436,3103.1875,3084.87852010786,3094.87852010786,3074.87852010786
