entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-05-24 22:36:08,2026-05-25 03:04:47,BTCUSD,long,76701.92656426,76358.43697317,1000,-420.019773
2026-05-25 03:06:06,2026-05-25 03:31:40,BTCUSD,short,76214.66113957,76444.37222691,1000,-306.040604
2026-05-25 03:41:07,2026-05-25 05:12:11,BTCUSD,long,76816.77529466,77120.81834356,1000,227.074252
2026-05-25 16:56:05,2026-05-25 19:47:50,BTCUSD,short,77374.77478916,77486.08709161,1000,-188.742733
2026-05-25 19:51:08,2026-05-25 20:41:32,BTCUSD,long,77480.42925333,77799.80251904,1000,241.73315
2026-05-26 00:36:06,2026-05-26 04:00:50,BTCUSD,short,77449.28852695,77122.72660716,1000,249.275912
