time,ha_open,ha_high,ha_low,ha_close,supertrend,trend
2026-05-05 10:30:00,2370.090288108308,2378.2,2370.090288108308,2374.7375,2359.968439312146,1.0
2026-05-05 10:45:00,2372.4138940541543,2377.3,2371.95,2375.4,2359.968439312146,1.0
2026-05-05 11:00:00,2373.906947027077,2378.3,2373.7,2376.45,2359.968439312146,1.0
2026-05-05 11:15:00,2375.1784735135384,2378.25,2371.4,2375.8999999999996,2359.968439312146,1.0
2026-05-05 11:30:00,2375.5392367567692,2382.5,2375.5392367567692,2378.7,2359.968439312146,1.0
2026-05-05 11:45:00,2377.1196183783845,2380.85,2373.25,2378.1,2359.968439312146,1.0
2026-05-05 12:00:00,2377.609809189192,2381.7,2374.95,2379.0625,2359.968439312146,1.0
2026-05-05 12:15:00,2378.3361545945963,2386.65,2378.3361545945963,2383.3625,2361.7629465479567,1.0
2026-05-05 12:30:00,2380.8493272972983,2388.45,2380.8493272972983,2386.3,2363.712344163431,1.0
2026-05-05 12:45:00,2383.574663648649,2389.15,2383.574663648649,2387.0625,2365.846143382223,1.0
2026-05-05 13:00:00,2385.3185818243246,2396.95,2385.3185818243246,2391.15,2369.1802958615685,1.0
2026-05-05 13:15:00,2388.2342909121626,2398.65,2387.15,2392.1749999999997,2369.6914044544656,1.0
2026-05-05 13:30:00,2390.2046454560814,2393.5,2381.75,2388.1625,2369.6914044544656,1.0
2026-05-05 13:45:00,2389.1835727280404,2397.1,2381.9,2388.625,2369.6914044544656,1.0
2026-05-05 14:00:00,2388.90428636402,2391.5,2380.0,2384.6625000000004,2369.6914044544656,1.0
2026-05-05 14:15:00,2386.7833931820105,2386.7833931820105,2366.7,2378.05,2369.6914044544656,1.0
2026-05-05 14:30:00,2382.4166965910053,2385.75,2368.65,2378.0125,2369.6914044544656,1.0
2026-05-05 14:45:00,2380.2145982955026,2380.55,2372.0,2376.3375,2369.6914044544656,1.0
2026-05-05 15:00:00,2378.276049147751,2386.5,2374.0,2380.0125,2369.6914044544656,1.0
2026-05-05 15:15:00,2379.1442745738755,2384.1,2378.8,2382.15,2369.6914044544656,1.0
2026-05-05 15:30:00,2380.647137286938,2384.95,2380.647137286938,2383.3625,2369.6914044544656,1.0
2026-05-05 15:45:00,2382.0048186434688,2386.0,2379.3,2382.2625,2369.6914044544656,1.0
2026-05-05 16:00:00,2382.1336593217343,2382.1336593217343,2377.6,2379.4500000000003,2369.6914044544656,1.0
2026-05-05 16:15:00,2380.7918296608673,2381.0,2372.75,2376.9,2369.6914044544656,1.0
2026-05-05 16:30:00,2378.8459148304337,2378.8459148304337,2358.45,2367.375,2398.669363066846,-1.0
2026-05-05 16:45:00,2373.110457415217,2373.110457415217,2360.2,2363.475,2397.54763101864,-1.0
2026-05-05 17:00:00,2368.292728707608,2368.6,2358.0,2363.9125,2394.2831620799284,-1.0
2026-05-05 17:15:00,2366.102614353804,2367.4,2362.5,2364.7875000000004,2394.2831620799284,-1.0
2026-05-05 17:30:00,2365.445057176902,2365.445057176902,2359.3,2362.5125,2390.6354070262637,-1.0
2026-05-05 17:45:00,2363.978778588451,2363.978778588451,2359.65,2361.4875,2388.549613464792,-1.0
2026-05-05 18:00:00,2362.7331392942256,2372.85,2361.8,2367.0750000000003,2388.549613464792,-1.0
2026-05-05 18:15:00,2364.904069647113,2372.25,2364.904069647113,2370.925,2388.549613464792,-1.0
2026-05-05 18:30:00,2367.9145348235566,2371.3,2367.9145348235566,2370.15,2388.549613464792,-1.0
2026-05-05 18:45:00,2369.0322674117783,2373.75,2369.0322674117783,2371.0125000000003,2388.549613464792,-1.0
2026-05-05 19:00:00,2370.0223837058893,2371.8,2368.0,2369.9125,2388.549613464792,-1.0
2026-05-05 19:15:00,2369.967441852945,2372.0,2368.0,2369.775,2388.549613464792,-1.0
2026-05-05 19:30:00,2369.8712209264722,2373.35,2368.9,2371.3125,2388.549613464792,-1.0
2026-05-05 19:45:00,2370.591860463236,2375.05,2368.0,2371.65,2388.549613464792,-1.0
2026-05-05 20:00:00,2371.1209302316183,2381.65,2370.0,2375.3999999999996,2388.549613464792,-1.0
2026-05-05 20:15:00,2373.260465115809,2386.25,2373.260465115809,2380.725,2388.549613464792,-1.0
2026-05-05 20:30:00,2376.9927325579047,2386.3,2376.9927325579047,2382.025,2388.549613464792,-1.0
2026-05-05 20:45:00,2379.508866278952,2383.7,2379.508866278952,2382.2375,2388.549613464792,-1.0
