time,HA_open,HA_high,HA_low,HA_close,Trendline
0,3102.075,3106.45,3098.35,3102.2375,3106.45
1,3102.15625,3106.9,3094.95,3102.0999999999995,3094.95
2,3102.1281249999997,3105.65,3102.1281249999997,3104.2999999999997,3094.95
3,3103.2140624999997,3105.0,3100.4,3103.6125,3094.95
4,3103.41328125,3111.7,3103.3,3107.75,3094.95
5,3105.581640625,3117.05,3105.581640625,3113.0875,3094.95
6,3109.3345703125,3116.75,3109.3345703125,3114.15,3094.95
7,3111.74228515625,3118.15,3111.74228515625,3114.9375,3094.95
8,3113.339892578125,3114.0,3103.7,3109.75,3094.95
9,3111.5449462890624,3111.5449462890624,3104.8,3107.275,3094.95
10,3109.4099731445312,3111.6,3107.15,3109.3999999999996,3094.95
11,3109.4049865722654,3115.6,3109.4049865722654,3112.975,3094.95
12,3111.1899932861324,3115.4,3105.6,3110.6375,3094.95
13,3110.913746643066,3110.913746643066,3106.1,3107.2875000000004,3094.95
14,3109.100623321533,3109.100623321533,3102.2,3105.3,3094.95
15,3107.2003116607666,3107.2003116607666,3098.4,3102.5875,3094.95
16,3104.893905830383,3104.893905830383,3095.7,3099.4875,3094.95
17,3102.1907029151917,3102.1907029151917,3095.9,3098.6000000000004,3094.95
18,3100.395351457596,3104.65,3097.8,3102.0125000000003,3094.95
19,3101.203925728798,3109.25,3100.75,3105.3,3094.95
20,3103.251962864399,3111.65,3103.251962864399,3108.3374999999996,3094.95
21,3105.794731432199,3113.4,3105.794731432199,3110.2,3094.95
22,3107.9973657160995,3117.65,3107.9973657160995,3113.2250000000004,3094.95
23,3110.6111828580497,3118.0,3110.6111828580497,3113.7625,3094.95
24,3112.1868414290248,3114.2,3108.8,3111.8125,3094.95
25,3111.9996707145124,3115.55,3110.6,3113.2,3094.95
26,3112.599835357256,3122.95,3112.599835357256,3118.875,3094.95
27,3115.737417678628,3125.25,3115.737417678628,3122.0874999999996,3094.95
28,3118.912458839314,3122.0,3118.45,3120.3375,3094.95
29,3119.624979419657,3124.95,3119.6,3122.2,3094.95
