time,HA_open,HA_high,HA_low,HA_close,EMA,ATR,ATR_avg
2025-11-20 21:00:00+05:30,2981.7250000000004,2994.0,2975.0,2983.1125,2983.1125,,
2025-11-20 21:05:00+05:30,2982.4187500000003,2996.0,2973.7,2982.2625,2982.957954545455,,
2025-11-20 21:10:00+05:30,2982.340625,2988.7,2977.6,2984.0750000000003,2983.1610537190086,,
2025-11-20 21:15:00+05:30,2983.2078125,2988.1,2968.6,2980.25,2982.631771224643,,
2025-11-20 21:20:00+05:30,2981.72890625,2981.72890625,2967.55,2973.925,2981.0487219110714,,
2025-11-20 21:25:00+05:30,2977.826953125,2979.85,2951.55,2964.9375,2978.119408836331,,
2025-11-20 21:30:00+05:30,2971.3822265625,2971.3822265625,2933.55,2947.4,2972.53406177518,,
2025-11-20 21:35:00+05:30,2959.39111328125,2959.39111328125,2910.0,2927.5750000000003,2964.359686906965,,
2025-11-20 21:40:00+05:30,2943.4830566406254,2943.4830566406254,2887.9,2907.1375000000003,2953.9556529238803,,
2025-11-20 21:45:00+05:30,2925.310278320313,2925.310278320313,2888.55,2899.4125,2944.038716028629,,
2025-11-20 21:50:00+05:30,2912.3613891601562,2912.3613891601562,2882.4,2897.1125,2935.5066767506964,,
2025-11-20 21:55:00+05:30,2904.736944580078,2917.8,2888.35,2898.775,2928.8281900687516,,
2025-11-20 22:00:00+05:30,2901.755972290039,2901.755972290039,2881.65,2889.7749999999996,2921.727610056251,,
2025-11-20 22:05:00+05:30,2895.765486145019,2895.765486145019,2870.65,2883.3625,2914.752135500569,22.846428571428532,
2025-11-20 22:10:00+05:30,2889.5639930725097,2889.5639930725097,2865.75,2874.15,2907.36992904592,22.339540816326494,
2025-11-20 22:15:00+05:30,2881.856996536255,2881.856996536255,2853.15,2863.0874999999996,2899.318578310298,22.190287900874605,
2025-11-20 22:20:00+05:30,2872.4722482681273,2874.75,2851.15,2858.975,2891.98338225388,22.2909816222407,
2025-11-20 22:25:00+05:30,2865.7236241340634,2865.7236241340634,2846.75,2855.8500000000004,2885.413676389538,21.84162579208065,
2025-11-20 22:30:00+05:30,2860.786812067032,2872.6,2841.5,2855.0625,2879.895280682349,22.502938235503454,
2025-11-20 22:35:00+05:30,2857.924656033516,2857.924656033516,2823.85,2837.775,2872.237047831013,22.663442647253206,
2025-11-20 22:40:00+05:30,2847.849828016758,2847.849828016758,2806.3,2823.4125000000004,2863.3598573162835,23.055339601020805,
2025-11-20 22:45:00+05:30,2835.631164008379,2835.631164008379,2808.05,2816.0249999999996,2854.7535196224135,22.55495820094787,
2025-11-20 22:50:00+05:30,2825.828082004189,2833.85,2810.35,2819.3625,2848.318788781975,22.62246118659445,
2025-11-20 22:55:00+05:30,2822.5952910020947,2832.5,2811.2,2821.9874999999997,2843.5312817307067,22.527999673266287,
2025-11-20 23:00:00+05:30,2822.291395501047,2834.45,2817.0,2825.5125000000003,2840.2551395978508,22.16528541089011,
