symbol,side,entry_time,exit_time,qty,entry,exit,gross_pnl,entry_fee,commission_exit,net_pnl
BTCUSD,short,2025-11-23 06:26:57.265353,2025-11-23 07:40:24.309545,30,86076.35417416,85635.10916057,13.23735,1.291145,1.284527,10.661678
ETHUSD,short,2025-11-23 07:06:12.243649,2025-11-23 08:02:32.730096,30,2796.81513904,2800.91430032,-1.229748,0.419522,0.420137,-2.069408
BTCUSD,long,2025-11-23 07:50:28.197275,2025-11-23 08:42:48.353614,30,85742.25284671,85814.21199248,2.158774,1.286134,1.287213,-0.414573
BTCUSD,long,2025-11-23 09:55:16.681281,2025-11-23 10:16:24.780877,30,86338.24571986,86171.02670424,-5.01657,1.295074,1.292565,-7.60421
BTCUSD,short,2025-11-23 11:01:41.200549,2025-11-23 11:26:50.300928,30,85965.39479523,86040.89005969,-2.264858,1.289481,1.290613,-4.844952
