entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-05-08 14:09:03,2026-05-08 14:32:02,ETHUSD,long,2284.69370768,2279.92279833,100,-7.053218
2026-05-08 14:09:02,2026-05-08 15:10:09,BTCUSD,long,79785.08738263,79821.21427241,100,-4.367626
2026-05-08 14:46:03,2026-05-08 15:16:05,ETHUSD,long,2288.28729104,2283.37303253,100,-7.200089
2026-05-08 16:14:01,2026-05-08 17:15:04,BTCUSD,long,80100.21087,80092.68750359,100,-8.761982
2026-05-08 16:32:02,2026-05-08 18:00:06,ETHUSD,long,2290.31573736,2292.07276378,100,-0.534168
2026-05-08 17:17:05,2026-05-08 18:19:06,BTCUSD,long,80168.93759307,80104.5033966,100,-14.457092
2026-05-08 18:37:00,2026-05-08 18:45:08,BTCUSD,short,79876.61782419,79649.76169852,100,14.709294
