time,HA_open,HA_high,HA_low,HA_close,SUPERTREND,Trendline,ATR,ATR_MA
2026-01-15 11:35:00+05:30,96413.25,96484.0,96361.5,96418.0,,96418.0,,
2026-01-15 11:40:00+05:30,96415.625,96443.0,96335.0,96388.875,,96418.0,,
2026-01-15 11:45:00+05:30,96402.25,96542.5,96366.5,96460.625,,96418.0,,
2026-01-15 11:50:00+05:30,96431.4375,96543.0,96431.4375,96505.5,,96418.0,,
2026-01-15 11:55:00+05:30,96468.46875,96514.5,96460.5,96486.125,,96418.0,,
2026-01-15 12:00:00+05:30,96477.296875,96486.0,96282.5,96386.0,,96418.0,,
2026-01-15 12:05:00+05:30,96431.6484375,96431.6484375,96194.0,96256.75,,96543.0,,
2026-01-15 12:10:00+05:30,96344.19921875,96344.19921875,96161.0,96191.25,,96543.0,,
2026-01-15 12:15:00+05:30,96267.724609375,96267.724609375,96132.5,96204.375,,96543.0,,
2026-01-15 12:20:00+05:30,96236.0498046875,96317.0,96217.0,96270.125,,96543.0,,
2026-01-15 12:25:00+05:30,96253.08740234375,96297.5,96204.0,96248.625,,96543.0,,
2026-01-15 12:30:00+05:30,96250.85620117188,96279.5,96143.0,96223.625,,96543.0,,
2026-01-15 12:35:00+05:30,96237.24060058594,96288.5,96187.5,96249.0,,96543.0,,
2026-01-15 12:40:00+05:30,96243.12030029297,96271.5,96166.0,96214.0,,96543.0,134.34891183035714,
2026-01-15 12:45:00+05:30,96228.56015014648,96343.5,96159.5,96240.875,,96543.0,137.89541812818877,
2026-01-15 12:50:00+05:30,96234.71757507324,96460.0,96234.71757507324,96370.75,,96543.0,144.13734718522943,
2026-01-15 12:55:00+05:30,96302.73378753662,96460.0,96302.73378753662,96435.25,,96543.0,145.0751232765258,
2026-01-15 13:00:00+05:30,96368.99189376831,96538.5,96368.99189376831,96477.375,,96543.0,146.82033634475178,
2026-01-15 13:05:00+05:30,96423.18344688416,96539.0,96423.18344688416,96513.5,,96543.0,144.60578039982985,
2026-01-15 13:10:00+05:30,96468.34172344208,96725.5,96468.34172344208,96590.625,,96234.71757507324,152.64524441112218,
